name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
神田神保町第２０,repark-rep0028297,東京都千代田区神田神保町２丁目２１,35.694891912618,139.75683240091,self_propelled,3,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028297&st=4&pref=13
西神田３丁目,repark-rep0011698,東京都千代田区西神田３丁目１ー３,35.697288822932,139.75366588652,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011698&st=4&pref=13
神田神保町２丁目,repark-rep0028574,東京都千代田区神田神保町２丁目３４ー３,35.697336068552,139.75530741501,self_propelled,1,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028574&st=4&pref=13
九段北１丁目第４,repark-rep0023263,東京都千代田区九段北１丁目７ー６,35.697227681211,139.75153273349,self_propelled,4,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023263&st=4&pref=13
九段北１丁目第５,repark-rep0028478,東京都千代田区九段北１丁目１０ー６,35.697419319533,139.7511216478,self_propelled,5,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028478&st=4&pref=13
神田神保町第１９,repark-rep0024715,東京都千代田区神田神保町１丁目１６ー４,35.696497329037,139.75872939144,self_propelled,7,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024715&st=4&pref=13
神田神保町第９,repark-rep0007891,東京都千代田区神田神保町１丁目４０,35.697577755645,139.75793774044,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007891&st=4&pref=13
神保町三井ビルディング駐車場,repark-rep0002437,東京都千代田区神田神保町１丁目１０５,35.693892074046,139.7599516319,self_propelled,38,FALSE,,,hourly,300,20,,一般,5300,1950,2100,2200,38,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002437&st=4&pref=13
神田神保町第１１,repark-rep0012320,東京都千代田区神田神保町１丁目３９,35.694653113104,139.76049321888,self_propelled,14,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,14,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012320&st=4&pref=13
飯田橋１丁目第３,repark-rep0014353,東京都千代田区飯田橋１丁目１２ー１１,35.698591379228,139.74894955122,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014353&st=4&pref=13
神田錦町第２,repark-rep0002540,東京都千代田区神田錦町３丁目１２－５,35.693392159829,139.76180150129,self_propelled,8,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002540&st=4&pref=13
水道橋駅前第２,repark-rep0026558,東京都千代田区神田三崎町２丁目９ー２,35.70079958248,139.75504338846,self_propelled,26,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,26,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026558&st=4&pref=13
九段南２丁目第２,repark-rep0013240,東京都千代田区九段南２丁目７ー１,35.692583612579,139.74464185261,self_propelled,1,TRUE,,,hourly,440,20,,ハイルーフ,4800,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013240&st=4&pref=13
神田駿河台２丁目第２,repark-rep0028342,東京都千代田区神田駿河台２丁目９ー１７,35.700185833503,139.75930139609,self_propelled,1,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028342&st=4&pref=13
千代田区富士見２丁目第２,repark-rep0011877,東京都千代田区富士見２丁目１１ー５,35.698769066922,139.74492487729,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011877&st=4&pref=13
神田小川町２丁目第２,repark-rep0013404,東京都千代田区神田小川町２丁目４ー２０レジディア新御茶ノ水,35.694825378683,139.76404291615,self_propelled,3,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013404&st=4&pref=13
三番町第１０,repark-rep0020348,,35.691830883731,139.74278926313,self_propelled,2,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020348&st=4&pref=13
神田小川町２丁目,repark-rep0011061,東京都千代田区神田小川町２丁目１０,35.695336443072,139.76450396532,self_propelled,1,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011061&st=4&pref=13
九段南３丁目第２,repark-rep0009381,東京都千代田区九段南３丁目５ー５,35.69218361786,139.74249482734,self_propelled,2,TRUE,,,hourly,440,20,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009381&st=4&pref=13
一番町第２,repark-rep0009538,,35.688286846334,139.74442262467,self_propelled,2,TRUE,,,hourly,400,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009538&st=4&pref=13
東京逓信病院管理棟駐車場,repark-rep0014118,東京都千代田区富士見２丁目１４ー２３東京逓信病院管理棟,35.697505276644,139.74278066956,self_propelled,10,FALSE,,,hourly,400,20,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014118&st=4&pref=13
飯田橋グラン・ブルーム時間貸駐車場,repark-rep0016083,東京都千代田区富士見２丁目１０ー２飯田橋グラン・ブルーム,35.698980129808,139.74340554975,self_propelled,46,FALSE,,,hourly,400,20,,一般,5000,2300,2100,2000,46,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016083&st=4&pref=13
ＯｔｅｍａｃｈｉＯｎｅ駐車場,repark-rep0024464,東京都千代田区大手町１丁目２ー１,35.6881288583,139.76320440514,self_propelled,99,FALSE,,,hourly,400,30,,一般,5300,2050,2050,2500,99,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024464&st=4&pref=13
神田美土代町第２,repark-rep0026160,,35.69257286922,139.76562344361,self_propelled,8,TRUE,,,hourly,400,12,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026160&st=4&pref=13
東京逓信病院診療棟駐車場,repark-rep0014119,東京都千代田区富士見２丁目１６ー２３東京逓信病院診療棟,35.697366389886,139.74205851393,self_propelled,99,TRUE,,,hourly,400,20,,ハイルーフ,5000,1900,2000,2000,99,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014119&st=4&pref=13
内神田１丁目第４,repark-rep0027197,東京都千代田区内神田１丁目１３ー１,35.690970256234,139.76525688184,self_propelled,7,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027197&st=4&pref=13
神田小川町１丁目第４,repark-rep0019321,東京都千代田区神田小川町１丁目１１ー９,35.694567116001,139.76648716905,self_propelled,2,TRUE,,,hourly,400,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019321&st=4&pref=13
神田小川町１丁目第３,repark-rep0019065,東京都千代田区神田小川町１丁目１１,35.694533788089,139.76663160359,self_propelled,2,TRUE,,,hourly,400,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019065&st=4&pref=13
神田小川町１丁目,repark-rep0007034,東京都千代田区神田小川町１丁目１１,35.694292152398,139.76688714849,self_propelled,6,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007034&st=4&pref=13
一番町第３,repark-rep0016386,,35.687217456509,139.74097573718,self_propelled,1,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016386&st=4&pref=13
神田司町第２,repark-rep0022904,東京都千代田区神田司町２丁目１０ー６,35.69443938611,139.76845923315,self_propelled,6,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022904&st=4&pref=13
神田淡路町２丁目第３,repark-rep0019476,東京都千代田区神田淡路町２丁目１０,35.69703633024,139.76845355904,self_propelled,2,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019476&st=4&pref=13
神田多町,repark-rep0022796,東京都千代田区神田多町２丁目６,35.694344971294,139.769609142,self_propelled,3,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022796&st=4&pref=13
神田鍛冶町３丁目,repark-rep0018313,東京都千代田区神田鍛冶町３丁目７ー３３,35.693600620399,139.77038133514,self_propelled,1,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0018313&st=4&pref=13
