name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
神田神保町第２０,repark-rep0028297,東京都千代田区神田神保町２丁目２１,35.694891912618,139.75683240091,self_propelled,3,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028297&st=4&pref=13
西神田３丁目,repark-rep0011698,東京都千代田区西神田３丁目１ー３,35.697288822932,139.75366588652,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011698&st=4&pref=13
神田神保町２丁目,repark-rep0028574,東京都千代田区神田神保町２丁目３４ー３,35.697336068552,139.75530741501,self_propelled,1,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028574&st=4&pref=13
九段北１丁目第４,repark-rep0023263,東京都千代田区九段北１丁目７ー６,35.697227681211,139.75153273349,self_propelled,4,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023263&st=4&pref=13
九段北１丁目第５,repark-rep0028478,東京都千代田区九段北１丁目１０ー６,35.697419319533,139.7511216478,self_propelled,5,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028478&st=4&pref=13
神田神保町第１９,repark-rep0024715,東京都千代田区神田神保町１丁目１６ー４,35.696497329037,139.75872939144,self_propelled,7,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024715&st=4&pref=13
神田神保町第９,repark-rep0007891,東京都千代田区神田神保町１丁目４０,35.697577755645,139.75793774044,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007891&st=4&pref=13
神保町三井ビルディング駐車場,repark-rep0002437,東京都千代田区神田神保町１丁目１０５,35.693892074046,139.7599516319,self_propelled,38,FALSE,,,hourly,300,20,,一般,5300,1950,2100,2200,38,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002437&st=4&pref=13
神田神保町第１１,repark-rep0012320,東京都千代田区神田神保町１丁目３９,35.694653113104,139.76049321888,self_propelled,14,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,14,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012320&st=4&pref=13
飯田橋１丁目第３,repark-rep0014353,東京都千代田区飯田橋１丁目１２ー１１,35.698591379228,139.74894955122,self_propelled,3,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014353&st=4&pref=13
銀座２丁目第４,repark-rep0010047,東京都中央区銀座２丁目１６ー７,35.670636417057,139.77080457942,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0010047&st=4&pref=13
銀座１丁目第８,repark-rep0023318,東京都中央区銀座１丁目２１ー１３,35.67250565984,139.7706739482,self_propelled,4,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023318&st=4&pref=13
築地２丁目第６,repark-rep0013826,東京都中央区築地２丁目１２ー１２,35.668122809288,139.77151296933,self_propelled,2,TRUE,,,hourly,110,60,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013826&st=4&pref=13
新富１丁目第２,repark-rep0012632,東京都中央区新富１丁目１２ー８,35.673097330137,139.77454304463,self_propelled,3,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012632&st=4&pref=13
築地３丁目第２,repark-rep0028377,東京都中央区築地３丁目１１ー４,35.667322914786,139.77265457836,self_propelled,9,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,9,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028377&st=4&pref=13
入船３丁目第２,repark-rep0015837,東京都中央区入船３丁目６ー１３,35.671089243121,139.77632909976,self_propelled,3,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015837&st=4&pref=13
銀座４丁目第４,repark-rep0020017,東京都中央区銀座４丁目１０ー６,35.670186403915,139.76729655848,self_propelled,1,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020017&st=4&pref=13
入船３丁目第３,repark-rep0022438,東京都中央区入船３丁目７ー１０,35.670847614581,139.77705127291,self_propelled,5,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0022438&st=4&pref=13
八丁堀４丁目,repark-rep0009817,東京都中央区八丁堀４丁目３ー１,35.674569382294,139.77377637351,self_propelled,6,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009817&st=4&pref=13
築地６丁目第３,repark-rep0026175,東京都中央区築地６丁目１ー２,35.666061948607,139.77322403313,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026175&st=4&pref=13
芝タワー駐車場,repark-rep0003160,東京都港区芝大門１丁目１－３０,35.65942063366,139.75265382527,self_propelled,30,TRUE,,,hourly,400,20,,一般,5000,2000,2100,2000,30,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003160&st=4&pref=13
芝大門２丁目第４,repark-rep0019563,東京都港区芝大門２丁目４ー７,35.655909928444,139.75438717598,self_propelled,2,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019563&st=4&pref=13
芝大門２丁目第６,repark-rep0028162,東京都港区芝大門２丁目６ー７,35.654990571591,139.75380393375,self_propelled,8,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028162&st=4&pref=13
浜松町１丁目第３,repark-rep0006801,東京都港区浜松町１丁目２番１６号,35.65966232931,139.75583132826,self_propelled,5,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0006801&st=4&pref=13
新橋６丁目第４,repark-rep0011356,東京都港区新橋６丁目７ー４,35.661823200011,139.75530627236,self_propelled,1,TRUE,,,hourly,440,15,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011356&st=4&pref=13
芝大門２丁目第５,repark-rep0021322,東京都港区芝大門２丁目１３ー８,35.653471289465,139.7537678957,self_propelled,2,TRUE,,,hourly,400,30,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0021322&st=4&pref=13
ポスパーク汐留第２,repark-rep0019148,東京都港区東新橋２丁目１４,35.659976210499,139.75730619132,self_propelled,20,TRUE,,,hourly,400,10,,ハイルーフ,5000,1900,2000,2000,20,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0019148&st=4&pref=13
ポスパーク汐留,repark-rep0015763,東京都港区東新橋２丁目１４,35.659976211954,139.7573895174,self_propelled,20,TRUE,,,hourly,400,10,,ハイルーフ,5000,1900,2000,2000,20,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015763&st=4&pref=13
ＮＢＦコモディオ汐留,repark-rep0017191,東京都港区東新橋２丁目１４ー１,35.660587252405,139.75709229194,self_propelled,10,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017191&st=4&pref=13
芝公園３丁目,repark-rep0024966,東京都港区芝公園３丁目５ー２４,35.660309303938,139.74557381734,self_propelled,4,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024966&st=4&pref=13
歌舞伎町１丁目第３,repark-rep0006062,東京都新宿区歌舞伎町１丁目４,35.694257716152,139.70357296426,self_propelled,12,TRUE,,,hourly,450,20,,ハイルーフ,5000,1900,2000,2000,12,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0006062&st=4&pref=13
歌舞伎町２丁目第３,repark-rep0002464,東京都新宿区歌舞伎町２丁目１２－３,35.696149210915,139.70529495615,self_propelled,15,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,15,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002464&st=4&pref=13
歌舞伎町２丁目第１１,repark-rep0024329,東京都新宿区歌舞伎町２丁目３１ー５,35.697537916009,139.70327006037,self_propelled,8,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0024329&st=4&pref=13
新宿５丁目第３,repark-rep0028020,東京都新宿区新宿５丁目１１ー２３,35.693032925366,139.70805042681,self_propelled,5,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028020&st=4&pref=13
