check_id,dimension_id,maker,model,generation,trim,drive,transmission,status,checked_values,differences,source,note
"1","4339","トヨタ","ヴォクシー","90系 (2022-)","S-G 2.0L","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895","","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"2","4340","トヨタ","ヴォクシー","90系 (2022-)","S-G 2.0L","4WD","CVT","誤り確認","全長mm=4695 / 全幅mm=1730 / 全高mm=1925","全高mm: 1895 -> 1925","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"3","4341","トヨタ","ヴォクシー","90系 (2022-)","S-Z 2.0L","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895","","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"4","4342","トヨタ","ヴォクシー","90系 (2022-)","S-Z HV","2WD","CVT","照合項目一致","全長mm=4695 / 全幅mm=1730 / 全高mm=1895","","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"5","4343","トヨタ","ヴォクシー","90系 (2022-)","S-Z HV","4WD","CVT","誤り確認","全長mm=4695 / 全幅mm=1730 / 全高mm=1925","全高mm: 1895 -> 1925","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"6","4396","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","ベースグレード","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"7","4397","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","ベースグレード","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"8","4398","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","ファッションスタイル","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"9","4399","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","ファッションスタイル","4WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1815","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
"10","4400","ホンダ","N-BOX","3代目 JF5/JF6 (2023-)","Custom ベースグレード","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1790","","https://www.honda.co.jp/factbook/auto/nbox/202409/4240926-n-box.pdf",""
