dimension_id,maker,model,slug,generation,phase,trim,drive,transmission,length_mm,width_mm,height_mm,weight_kg,structural_check,manufacturer_check,checked_fields,findings,in_git_seed,sources,notes
"4328","トヨタ","アルファード","alphard","40系 (2023-)","現行型","Z 2.5L ガソリン","2WD","CVT","4995","1850","1935","2060","基礎整合性検査済み","未照合","","未判定","あり","",""
"4329","トヨタ","アルファード","alphard","40系 (2023-)","現行型","Z 2.5L ガソリン","4WD","CVT","4995","1850","1935","2120","基礎整合性検査済み","未照合","","未判定","あり","",""
"4330","トヨタ","アルファード","alphard","40系 (2023-)","現行型","Executive Lounge 2.5L HV","2WD","CVT","4995","1850","1935","2230","基礎整合性検査済み","未照合","","未判定","あり","",""
"4331","トヨタ","アルファード","alphard","40系 (2023-)","現行型","Executive Lounge 2.5L HV","4WD","CVT","4995","1850","1935","2290","基礎整合性検査済み","未照合","","未判定","あり","",""
"4332","トヨタ","アルファード","alphard","40系 (2023-)","現行型","Z PHEV","4WD","CVT","4995","1850","1945","2440","基礎整合性検査済み","未照合","","未判定","あり","",""
"4333","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","S-C 2.5L","2WD","CVT","4950","1850","1935","2010","基礎整合性検査済み","未照合","","未判定","あり","",""
"4334","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","S-C 2.5L","4WD","CVT","4950","1850","1935","2070","基礎整合性検査済み","未照合","","未判定","あり","",""
"4335","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","Executive Lounge 3.5L","2WD","8AT","4945","1850","1950","2100","基礎整合性検査済み","未照合","","未判定","あり","",""
"4336","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","Executive Lounge 3.5L","4WD","8AT","4945","1850","1950","2170","基礎整合性検査済み","未照合","","未判定","あり","",""
"4337","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","S HV","2WD","CVT","4950","1850","1935","2000","基礎整合性検査済み","未照合","","未判定","あり","",""
"4338","トヨタ","アルファード","alphard","30系後期 (2018-2022)","前期型","S HV","4WD","CVT","4950","1850","1935","2060","基礎整合性検査済み","未照合","","未判定","あり","",""
"4339","トヨタ","ヴォクシー","voxy","90系 (2022-)","現行型","S-G 2.0L","2WD","CVT","4695","1730","1895","1610","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","照合項目に不一致なし・未照合項目あり得る","あり","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
"4340","トヨタ","ヴォクシー","voxy","90系 (2022-)","現行型","S-G 2.0L","4WD","CVT","4695","1730","1895","1670","基礎整合性検査済み","資料照合実施（項目限定）","全長mm / 全幅mm / 全高mm","誤り確認","あり","https://toyota.jp/pages/contents/carlineup/archive/voxy/2022-01/pdf/voxy_main_s_202201_202504.pdf","90系、2022年1月〜2025年改良前。重量は装備条件があるため別途確認。"
