maker,model,slug,registered_rows,reviewed_rows,unreviewed_rows,findings,related_articles
"トヨタ","アルファード","alphard","11","0","11","メーカー資料未照合","content/cars/alphard.mdx | content/cars/delica-d5-mechanical-parking-guide.mdx | content/cars/harrier.mdx | content/cars/rav4-mechanical-parking-guide.mdx | content/cars/vellfire-mechanical-parking-guide.mdx | content/compare/alphard-vs-voxy.mdx | content/knowledge/mansion-parking-checklist.mdx | content/knowledge/width-limit-guide.mdx | content/size-guide/minivan-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ヴォクシー","voxy","8","5","3","誤り確認","content/cars/voxy.mdx | content/compare/alphard-vs-voxy.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/minivan-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ハリアー","harrier","11","9","2","照合項目に不一致なし・未照合項目あり得る","content/cars/corolla-cross-mechanical-parking-guide.mdx | content/cars/crown-crossover-mechanical-parking-guide.mdx | content/cars/crown-sport-mechanical-parking-guide.mdx | content/cars/harrier.mdx | content/cars/rav4-mechanical-parking-guide.mdx | content/cars/yaris-cross-mechanical-parking-guide.mdx | content/compare/harrier-vs-cx5.mdx | content/compare/harrier-vs-rav4.mdx | content/knowledge/mansion-parking-checklist.mdx | content/knowledge/width-limit-guide.mdx | content/size-guide/suv-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"トヨタ","RAV4","rav4","6","0","6","メーカー資料未照合","content/cars/corolla-cross-mechanical-parking-guide.mdx | content/cars/forester-mechanical-parking-guide.mdx | content/cars/rav4-mechanical-parking-guide.mdx | content/cars/yaris-cross-mechanical-parking-guide.mdx | content/compare/harrier-vs-rav4.mdx | content/knowledge/mansion-parking-checklist.mdx | content/knowledge/width-limit-guide.mdx | content/size-guide/suv-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ヤリス","yaris","7","6","1","誤り確認","content/cars/yaris-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ヤリスクロス","yaris-cross","12","2","10","誤り確認","content/cars/corolla-cross-mechanical-parking-guide.mdx | content/cars/fronx-mechanical-parking-guide.mdx | content/cars/kicks-mechanical-parking-guide.mdx | content/cars/vezel-mechanical-parking-guide.mdx | content/cars/yaris-cross-mechanical-parking-guide.mdx | content/cars/yaris-mechanical-parking-guide.mdx | content/compare/yaris-cross-vs-vezel.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/width-1850.mdx"
"トヨタ","プリウス","prius","7","4","3","誤り確認 / 条件注記不足","content/cars/prius-mechanical-parking-guide.mdx | content/size-guide/width-1850.mdx"
"トヨタ","ランドクルーザー300","land-cruiser-300","6","0","6","メーカー資料未照合","content/cars/delica-d5-mechanical-parking-guide.mdx | content/cars/land-cruiser-300-mechanical-parking-guide.mdx | content/cars/land-cruiser-fj-mechanical-parking-guide.mdx | content/compare/land-cruiser-300-vs-prado.mdx | content/knowledge/mansion-parking-checklist.mdx | content/knowledge/width-limit-guide.mdx | content/size-guide/suv-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"ホンダ","N-BOX","n-box","22","22","0","誤り確認","content/cars/n-box-mechanical-parking-guide.mdx | content/compare/n-box-vs-freed.mdx | content/compare/n-box-vs-tanto.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/kei-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"ホンダ","フリード","freed","22","22","0","誤り確認","content/cars/freed-mechanical-parking-guide.mdx | content/compare/freed-vs-sienta.mdx | content/compare/n-box-vs-freed.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/minivan-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
"日産","セレナ","serena","18","10","8","誤り確認","content/cars/serena-mechanical-parking-guide.mdx | content/compare/serena-vs-stepwgn.mdx | content/knowledge/mansion-parking-checklist.mdx | content/size-guide/minivan-mechanical-parking.mdx | content/size-guide/width-1850.mdx"
